number;kind_of_literature;author;text;title_of_excerpt;start_of_excerpt;end_of_excerpt;year;chrestomathy;form;level_of_education;place_of_edition;notes;biblio_id
163;поэзия;Алексеев;Новый месяц;;Как челн серебряный, над лентой;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
164;поэзия;Алексеев П.Ф.;Водолаз;;;;1840;Эртель Цветник;;;СПб;;Эртель Цветник__1840
165;поэзия;Алмазов Б.Н.;Отшельник;;;;1903;Соколов Родная речь 9 изд;;СУЗ;Москва;;Соколов Родная речь 9 изд__1903
166;проза;Альбинский А.;Майское утро;;Утро свежестью пахнуло;;1864;Ушинский Родное слово;;Начальные школы;СПб;;Ушинский Родное слово__1864
167;проза;Амвросий Подобедов;Слово при погребении архиепископа Амвросия;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
168;критика;Амвросий Протасов;Слово на случай присяги избранных судов;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
169;undefined;Анненков П.В.;О литературном типе слабовольного человека;;;;1866;Галахов 11 изд Том первый;;;СПб;;Галахов 11 изд Том первый__1866
170;undefined;Анненская А.Н.;Арабская лошадь;;;;1880;Козьмин I Курс;;Городские, уездные училища;Москва;;Козьмин I Курс__1880
171;поэзия;Анненская А.Н.;Крестьянская лошадь;;;;1880;Козьмин I Курс;;Городские, уездные училища;Москва;;Козьмин I Курс__1880
172;поэзия;аноним;К портрету Петра Великого;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
173;поэзия;аноним;К портрету Петра Великого;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
174;поэзия;аноним;К портрету Петра Великого;;Россия тьмой была покрыта много лет;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
175;поэзия;аноним;К портрету Петра Великого;;Россия тьмой была покрыта много лет;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
176;поэзия;Апухтин А.Н.;Астрам;;Поздние гости отцветшего лета;;1912;Галахов РХ 35изд 2том;;СУЗ;Москва;;Галахов РХ 35изд 2том__1912
177;поэзия;Апухтин А.Н.;Год в монастыре;"Из поэмы ""Год в монастыре""";Сегодня сценою печальной;звучат в ушах моих;1908;Острем;;;Гельсингфорс;;Острем__1908
178;проза;Апухтин А.Н.;Голгофа;;;;1905;Голиков Хрест 1 часть;Третий отдел;Городские училища;Москва;;Голиков Хрест 1 часть__1905
179;поэзия;Апухтин А.Н.;Когда был я ребенком, родная моя;На могиле матери;;;1905;Вейнберг;1-2 кл.;;Москва;;Вейнберг__1905
180;поэзия;Апухтин А.Н.;Песни;Песня;;;1860;Русская лира Нов поэты;;;СПб;;Русская лира Нов поэты__1860
181;поэзия;Апухтин А.Н.;Проселок;;;;1912;Галахов РХ 35изд 2том;;СУЗ;Москва;;Галахов РХ 35изд 2том__1912
182;поэзия;Апухтин А.Н.;Проселок;;;;1904;Шафров Хрест 3 часть;Пятый отдел;Городские училища;Москва;;Шафров Хрест 3 часть__1904
183;поэзия;Апухтин А.Н.;Умирающая мать;;;;1905;Вейнберг;1-2 кл.;;Москва;;Вейнберг__1905
184;поэзия;Арсеньев Ф.;После дождя;;;;1905;Голиков Хрест 1 часть;Третий отдел;Городские училища;Москва;;Голиков Хрест 1 часть__1905
185;поэзия;Афанасьев А.Н.;Лиса и рак;;;;1880;Козьмин I Курс;;Городские, уездные училища;Москва;;Козьмин I Курс__1880
186;проза;Афанасьев-Чужбинский А.С.;Днепровские пороги;;;;1880;Козьмин I Курс;;Городские, уездные училища;Москва;;Козьмин I Курс__1880
187;проза;Афанасьев-Чужбинский А.С.;Днепровские пороги;;;;1876;Стоюнин КлРХ;Младшие классы;СУЗ;СПб;;Стоюнин КлРХ__1876
188;проза;Афанасьев-Чужбинский А.С.;Чумаки;;;;1876;Стоюнин КлРХ;Младшие классы;СУЗ;СПб;;Стоюнин КлРХ__1876
